Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
-0.7,,95,,10,101.21,,
-0.1,,96,,9,101.19,,
-0.7,,91,,5,101.17,,
-0.5,,91,,11,101.14,,
-0.3,,87,,11,101.05,,
-0.6,,83,,14,101.01,,
-0.4,,83,,13,101.02,,
-0.6,,83,,9,101.01,,
-1.4,,94,,10,100.95,,
-1.4,,95,,8,100.92,,
-1.3,,94,,6,100.86,,
-1.3,,94,,5,100.79,,
-1.5,,94,,7,100.71,,
-1.2,,93,,7,100.64,,
-1.2,,93,,8,100.61,,
-1.3,,94,,10,100.52,,
-1.4,,91,,16,100.54,,
-1.8,,92,,16,100.44,,
-1.9,,92,,15,100.41,,
-1.9,,91,,18,100.42,,
-2.1,,92,,19,100.45,,
-2.5,,92,,21,100.42,,
-2.5,,89,,25,100.3,,
-2,,82,,19,100.26,,
-1,,72,,16,100.19,,
-0.6,,72,,18,100.17,,
-0.3,,69,,16,100.25,,
-0.5,,72,,14,100.32,,
-0.6,,76,,10,100.37,,
-0.6,,73,,11,100.39,,
-0.8,,80,,11,100.41,,
-1,,74,,21,100.44,,
-1.7,,73,,16,100.48,,
-1.5,,74,,10,100.47,,
-1.3,,75,,9,100.49,,
-1,,75,,15,100.46,,
-0.8,,73,,18,100.48,,
-0.8,,76,,14,100.51,,
-0.6,,77,,11,100.49,,
-0.2,,78,,16,100.46,,
0.1,,77,,17,100.46,,
0.3,,76,,18,100.45,,
0.2,,82,,17,100.5,,
-0.5,,92,,22,100.55,,
-0.1,,83,,28,100.61,,
0.6,,79,,26,100.7,,
0.8,,79,,25,100.79,,
1.1,,76,,23,100.81,,
1.5,,75,,24,100.82,,
1.5,,74,,19,100.9,,
1.6,,74,,18,101,,
1.7,,72,,16,101.14,,
0.9,,74,,17,101.29,,
0.2,,59,,18,101.43,,
-1.3,,61,,14,101.57,,
-2.7,,57,,16,101.68,,
-3.9,,59,,17,101.82,,
-4.8,,63,,11,101.96,,
-6.4,,66,,4,102.01,,
-6.2,,63,,8,102.03,,
-6.8,,65,,10,102.05,,
-7.5,,60,,11,102.18,,
-8,,65,,9,102.27,,
-8.9,,61,,10,102.28,,
-9.7,,61,,11,102.32,,
-10.3,,61,,11,102.38,,
-10.9,,62,,13,102.4,,
-11.4,,60,,14,102.39,,
-11.3,,61,,15,102.39,,
-11.1,,59,,16,102.33,,
-10.7,,60,,14,102.28,,
-10.6,,63,,13,102.15,,
-10,,64,,15,102.06,,
-9.1,,65,,18,101.94,,
-8.9,,66,,17,101.94,,
-9.2,,67,,20,101.65,,
-9.6,,77,,21,101.49,,
-9.6,,87,,18,101.39,,
-9.4,,87,,24,101.21,,
-8.9,,89,,23,101.04,,
-8.5,,90,,25,100.85,,
-7.8,,90,,21,100.66,,
-7.5,,90,,20,100.45,,
-6.7,,91,,24,100.22,,
-5.7,,92,,22,99.94,,
-5.1,,92,,19,99.77,,
-4.9,,92,,19,99.59,,
-5.1,,91,,20,99.4,,
-5,,90,,21,99.23,,
-4.9,,91,,20,99.13,,
-5.7,,91,,21,99.06,,
-6.5,,89,,23,99.05,,
-6.5,,87,,20,99.07,,
-6.4,,87,,17,99.12,,
-6,,84,,17,99.14,,
-5.5,,79,,16,99.17,,
-4.7,,77,,10,99.2,,
-4.1,,84,,13,99.31,,
-4,,80,,24,99.46,,
-4.6,,78,,27,99.62,,
-5,,83,,24,99.78,,
-5.1,,80,,18,99.93,,
-5.2,,80,,15,100.09,,
-5.3,,80,,17,100.24,,
-4.4,,70,,14,100.37,,
-5.4,,76,,11,100.45,,
-5.7,,79,,14,100.51,,
-6.6,,75,,13,100.59,,
-6.5,,73,,16,100.68,,
-6.6,,70,,11,100.77,,
-7.7,,70,,8,100.85,,
-10,,71,,9,100.9,,
-9.3,,76,,8,100.98,,
-10.3,,81,,6,101.08,,
-10.5,,84,,6,101.18,,
-11.1,,83,,5,101.27,,
-9.5,,73,,5,101.33,,
-8,,63,,7,101.38,,
-6.4,,61,,0,101.35,,
-5.5,,58,,0,101.3,,
-3.8,,58,,0,101.24,,
-4.4,,69,,3,101.23,,
-4.2,,79,,11,101.25,,
-4.3,,85,,7,101.27,,
-4.3,,88,,9,101.26,,
-4,,88,,9,101.25,,
-3.5,,86,,7,101.25,,
-3.1,,85,,10,101.25,,
-3.1,,88,,0,101.24,,
-2.3,,87,,7,101.2,,
-2.4,,81,,11,101.15,,
-3,,73,,15,101.06,,
-2.6,,78,,18,100.96,,
-2.3,,81,,19,100.92,,
-1.3,,79,,21,100.83,,
-0.8,,75,,22,100.77,,
-1.7,,89,,17,100.75,,
-1.7,,92,,19,100.72,,
-1.6,,97,,21,100.73,,
-1.3,,96,,14,100.79,,
1.8,,84,,20,100.89,,
2.3,,79,,25,100.95,,
1,,70,,27,101.08,,
1.2,,56,,35,101.17,,
1.1,,57,,29,101.23,,
1.2,,63,,25,101.34,,
0.7,,64,,20,101.47,,
0.5,,61,,25,101.62,,
-0.4,,65,,17,101.74,,
-0.5,,65,,12,101.88,,
-1,,58,,18,101.98,,
-1.5,,59,,12,102.03,,
-1.7,,61,,11,102.11,,
-2.4,,65,,6,102.18,,
-2.8,,67,,5,102.23,,
-3.2,,68,,4,102.2,,
-2.8,,68,,7,102.24,,
-2.7,,63,,8,102.27,,
-3.5,,67,,10,102.27,,
-5.1,,62,,17,102.25,,
-6.8,,61,,16,102.22,,
-7,,57,,15,102.2,,
-7.5,,61,,19,102.14,,
-8.3,,72,,21,102.05,,
-9,,81,,20,101.94,,
-9.4,,84,,22,101.8,,
-10,,86,,18,101.66,,
-10.4,,85,,19,101.48,,
-10.3,,86,,24,101.37,,
-9.7,,86,,27,101.28,,
-8.9,,86,,20,101.26,,
-8.8,,87,,18,101.28,,
-8.7,,86,,20,101.35,,
-8.3,,85,,14,101.43,,
-8,,83,,13,101.51,,
-7.8,,83,,10,101.58,,
-7.5,,83,,3,101.62,,
-8.6,,83,,6,101.72,,
-8.9,,92,,7,101.79,,
-8.9,,89,,7,101.94,,
-8.7,,88,,6,101.87,,
-9.9,,91,,4,101.99,,
-8.5,,90,,9,102.01,,
-8.3,,88,,8,102.03,,
-8.1,,87,,5,101.97,,
-7.6,,87,,8,102.02,,
-8.1,,87,,8,102.05,,
-9.4,,88,,9,102.09,,
-9.6,,85,,8,102.1,,
-9.2,,83,,5,102.1,,
-8.5,,81,,4,102.01,,
-8.6,,82,,7,101.97,,
-9.1,,82,,8,101.87,,
-9.1,,83,,7,101.81,,
-8.7,,84,,6,101.77,,
-8.4,,84,,5,101.79,,
-8.7,,87,,5,101.81,,
-8.9,,88,,5,101.79,,
-8.4,,88,,5,101.75,,
-8.6,,88,,10,101.75,,
-8.6,,89,,7,101.73,,
-8.6,,89,,8,101.65,,
-8.3,,88,,7,101.6,,
-8,,89,,3,101.55,,
-8.2,,89,,0,101.56,,
-7.9,,88,,6,101.58,,
-8.7,,88,,5,101.65,,
-8.3,,85,,13,101.73,,
-8.6,,80,,14,101.83,,
-10.7,,66,,16,101.97,,
-13.2,,65,,19,102.09,,
-14.7,,62,,15,102.2,,
-13.8,,56,,14,102.31,,
-13,,49,,9,102.39,,
-11.3,,48,,9,102.41,,
-10.8,,44,,8,102.36,,
-10.2,,41,,12,102.31,,
-10.6,,48,,17,102.26,,
-10.3,,47,,15,102.28,,
-10.1,,42,,11,102.25,,
-10.6,,45,,8,102.25,,
-12.6,,52,,4,102.21,,
-11.9,,56,,6,102.24,,
-12.3,,59,,6,102.24,,
-14.6,,68,,7,102.25,,
-14.5,,70,,6,102.23,,
-13.8,,70,,5,102.22,,
