Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
8.2,,75,,14,100.86,,
8,,72,,16,100.84,,
7.9,,71,,19,100.8,,
7.8,,73,,18,100.82,,
8.3,,73,,17,100.84,,
8.5,,76,,13,100.84,,
10.8,,69,,9,100.87,,
12.5,,62,,21,100.83,,
13.9,,60,,23,100.79,,
15.2,,59,,29,100.73,,
16,,57,,36,100.67,,
17.1,,55,,42,100.61,,
18.1,,52,,37,100.59,,
19,,48,,42,100.54,,
18,,48,,35,100.5,,
18.1,,48,,42,100.46,,
17.8,,42,,33,100.45,,
18,,39,,29,100.46,,
17,,44,,34,100.49,,
16.5,,48,,30,100.46,,
15.9,,53,,35,100.51,,
14.7,,58,,32,100.54,,
14.1,,62,,34,100.59,,
13.4,,68,,25,100.75,,
11.5,,82,,25,100.75,,
11.7,,78,,19,100.73,,
11.3,,82,,19,100.69,,
11.3,,81,,23,100.77,,
10.2,,87,,22,100.78,,
9.6,,92,,13,100.8,,
9.4,,93,,22,100.8,,
9.3,,92,,22,100.82,,
9.4,,92,,21,100.85,,
9.2,,96,,21,100.9,,
9.7,,95,,7,100.97,,
9.8,,92,,9,100.97,,
9.7,,93,,17,100.96,,
9.6,,92,,13,100.96,,
9.5,,91,,13,100.96,,
9.1,,92,,13,100.97,,
9,,94,,10,100.97,,
8.6,,91,,19,100.97,,
8.5,,94,,12,100.99,,
7.9,,95,,15,101.04,,
7.4,,93,,18,101.06,,
7.1,,95,,13,101.07,,
6.9,,93,,11,101.07,,
6.8,,93,,15,101.05,,
6.7,,94,,8,101.05,,
6.8,,95,,0,101.01,,
6.7,,88,,16,101.05,,
6.5,,88,,12,101.06,,
6.3,,88,,6,101.06,,
6.4,,87,,10,101.07,,
6.6,,86,,7,101.15,,
6.8,,85,,9,101.2,,
6.8,,83,,13,101.24,,
7,,81,,12,101.25,,
7.2,,83,,11,101.28,,
7.6,,83,,10,101.3,,
8.2,,81,,14,101.27,,
8.2,,74,,7,101.25,,
7.9,,84,,7,101.25,,
8.6,,80,,7,101.24,,
8.2,,80,,10,101.27,,
8.2,,81,,9,101.31,,
7.2,,88,,12,101.32,,
7.1,,88,,11,101.35,,
6.7,,85,,11,101.39,,
6.6,,86,,9,101.4,,
6.2,,85,,11,101.41,,
5.9,,85,,10,101.44,,
5.2,,86,,6,101.46,,
4.8,,88,,3,101.46,,
4.7,,93,,5,101.49,,
5,,90,,9,101.52,,
4.6,,91,,8,101.57,,
4.5,,90,,11,101.59,,
4.8,,89,,8,101.64,,
4.9,,88,,10,101.66,,
6.5,,81,,11,101.68,,
7.3,,78,,14,101.71,,
8.4,,72,,14,101.72,,
9.1,,69,,12,101.72,,
10.4,,64,,13,101.7,,
