Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
0,,47,,8,102.74,,
-0.1,,46,,11,102.8,,
-0.4,,47,,7,102.84,,
-1.1,,52,,8,102.9,,
-1.5,,54,,5,102.98,,
-1.6,,54,,6,103.02,,
-3.4,,67,,4,103.07,,
-4,,73,,3,103.08,,
-4.1,,74,,0,103.11,,
-4,,69,,0,103.12,,
-5.3,,76,,4,103.15,,
-4.3,,70,,6,103.11,,
-5.7,,77,,8,103.11,,
-5.9,,78,,7,103.11,,
-5.1,,76,,6,103.08,,
-4.8,,78,,7,103.04,,
-4.8,,79,,7,103.03,,
-4.9,,83,,11,102.98,,
-4,,76,,6,103,,
-2.8,,65,,8,102.96,,
-1.5,,57,,12,102.85,,
-0.3,,48,,14,102.75,,
0.8,,42,,14,102.6,,
1.2,,43,,18,102.54,,
1.6,,46,,15,102.41,,
1.7,,49,,14,102.27,,
2,,48,,12,102.22,,
2.1,,47,,15,102.15,,
2.3,,42,,20,102.01,,
2.4,,44,,22,101.87,,
1.1,,75,,27,101.73,,
0.6,,87,,22,101.67,,
0.4,,92,,18,101.41,,
0.7,,93,,23,101.44,,
1.4,,90,,30,101.22,,
1.4,,93,,23,101.2,,
1.8,,91,,22,101.07,,
1.8,,92,,24,100.96,,
1.3,,95,,25,100.84,,
1.5,,95,,26,100.77,,
2,,96,,16,100.78,,
2.2,,95,,19,100.74,,
2.6,,95,,22,100.69,,
3.1,,95,,18,100.62,,
4.3,,94,,17,100.53,,
4.9,,92,,20,100.4,,
5.9,,88,,16,100.3,,
6,,87,,6,100.27,,
5.5,,95,,5,100.23,,
3.6,,97,,13,100.2,,
2.5,,98,,13,100.22,,
2.2,,99,,15,100.22,,
2.1,,99,,9,100.18,,
1.9,,99,,10,100.21,,
1.9,,100,,7,100.22,,
1.9,,100,,8,100.22,,
1.9,,99,,11,100.25,,
1.9,,98,,3,100.26,,
2.3,,97,,3,100.27,,
2.6,,97,,8,100.29,,
2.6,,95,,10,100.3,,
2.6,,91,,12,100.35,,
2.6,,89,,13,100.37,,
2.2,,88,,12,100.39,,
1.9,,85,,15,100.43,,
1.6,,83,,16,100.51,,
1.4,,83,,17,100.57,,
1.6,,84,,16,100.56,,
2.1,,83,,11,100.57,,
2.5,,78,,16,100.52,,
3.1,,74,,15,100.47,,
3.8,,71,,15,100.45,,
3.9,,73,,14,100.43,,
4.4,,75,,11,100.41,,
4.6,,75,,10,100.39,,
4.5,,85,,15,100.44,,
4.7,,88,,15,100.51,,
4.8,,88,,13,100.53,,
4.6,,87,,16,100.55,,
